Help!	बचाओ!
Remember maximized window state in the file properties for the current file	मौजूदा फ़ाइल के लिए फ़ाइल गुणों में विंडो की अधिकतम स्थिति विकल्प याद रखें
Remember the maintain aspect option in the file properties for the current file	मौजूदा फ़ाइल के लिए फ़ाइल गुणों में ऑस्पेक्ट बनाए रखें विकल्प याद रखें
Remember volume adjustments in the file properties for the current file	मौजूदा फ़ाइल के लिए फ़ाइल गुणों में आवाज़ निर्धारक समायोजन याद रखें
Remember audio delay setting in the file properties for the current file	मौजूदा फ़ाइल के लिए फ़ाइल गुणों में ऑडियो देरी विन्यास याद रखें
Remember contrast adjustments in the file properties for the current file	मौजूदा फ़ाइल के लिए फ़ाइल गुणों में कंट्रास्ट समायोजन याद रखें
Remember brightness adjustments in the file properties for the current file	मौजूदा फ़ाइल के लिए फ़ाइल गुणों में चमकीलापन समायोजन याद रखें
Remember hue adjustments in the file properties for the current file	मौजूदा फ़ाइल के लिए फ़ाइल गुणों में वर्ण समायोजन याद रखें
Remember saturation adjustments in the file properties for the current file	मौजूदा फ़ाइल के लिए फ़ाइल गुणों में संतृप्ति समायोजन याद रखें
Remember the subtitle delay in the file properties for the current file	मौजूदा फ़ाइल के लिए फ़ाइल गुणों में सबटाइटल देरी याद रखें
Lower limit on the video hue	वीडियो वर्ण पर निचली सीमा
Upper limit on the video hue	वीडियो वर्ण की ऊपरी सीमा
Lower limit on the video saturation	वीडियो संतृप्ति पर निचली सीमा
Upper limit on the video saturation	वीडियो संतृप्ति की ऊपरी सीमा
Minimum length of slider control	स्लाइडर नियंत्रक की न्यूनतम लंबाई
Preferred length of slider control	स्लाइडर नियंत्रक की पसंदीदा लंबाई
Automatically load subtitle types selected below	नीचे चयनित सब- टाइटल स्वचालित लोड करें
List of extensions to use for automatically loading subtitles	सबटाइटल को स्वचालित लोड करने के लिए इस्तेमाल में एक्सटेंशन
Video output to use for playing video	वीडियो प्ले करने के लिए इस्तेमाल में वीडियो आउटपुट
Video device to use for the chosen output	चयनित आउटपुट के लिए इस्तेमाल में वीडियो उपकरण
fast bilinear	तेज बाइलिनियर
bilinear	द्विरेखीय
experimental	परीक्षणाधीन
area	क्षेत्र
gauss	गॉज़
sincR	साइन- सीआर
lanczos	लैंकज़ॉस
bicubic spline	बाइक्यूबिक स्पलाइन
Enable double buffering for video output	वीडियो आउटपुट के लिए दोहरी बफरिंग सक्षम करें
Enable direct rendering for video output	वीडियो आउटपुट के लिए डायरेक्ट रेंडरिंग सक्षम करें
Lower limit on the sound volume	ध्वनि आवाज की निचली सीमा
Upper limit on the sound volume	ध्वनि आवाज़ की ऊपरी सीमा
Playlist Toolbar	गीत- सूची औज़ार- पट्टी
No Incremental Streaming	कोई इन्क्रीमेंटल स्ट्रीमिंग नहीं
Appending session to CD	मल्टीसेसन डाटा सीडी नक़ल किया जा रहा है.
Blanking error	ब्लैंकिंग त्रुटि
Quick Format	तत्काल फॉर्मेट
Failed to reload the medium	कृपया मीडिया को फिर से लोड करें तथा 'ठीक' को दबाएँ
Formatting disc	फार्मेट किया जा रहा है
No device set	कोई उपकरण सेट नहीं है
Checking media	मीडिया चेक किया जा रहा है
Preparing data	डाटा तैयार करें
Verifying written data	लिखा गया डाटा को सत्यापित किया जा रहा है
Writing image	इमेज को लिखा जा रहा है.
Waiting for media	मीडिया की प्रतीक्षा की जा रही है
Booktype successfully changed	बुकटाइप सफलतापूर्वक परिवर्तित किया
Changing Booktype	बुकटाइप बदला जा रहा है
Reading clone image	क्लोन इमेज़ पढ़ा जा रहा है
Simulating clone copy	क्लोन नक़ल सिमुलेट किया जा रहा है
Cloning CD	सीडी क्लोनिंग
Multisession CD	मल्टीसेसन सीडी
Unable to read Table of contents	टीओसी पढ़ने में अक्षम
Querying Cddb	सीडीडीबी क्वैरी की जा रही है
Simulating	सिमुलेट किया जा रहा है
Writing Copy	नक़ल लिखा जा रहा है
Creating CD Image	सीडी इमेज बनाया जा रहा है
Simulating CD Copy	सीडी नक़ल सिमुलेट किया जा रहा है
Copying CD	सीडी नक़ल किया जा रहा है
Write Binary Image	बाइनरी इमेज लिखें
Writing DVD copy	डीवीडी नक़ल लिखा जा रहा है
Writing BD copy	डीवीडी नक़ल लिखा जा रहा है
Copying DVD or BD	डाटा सीडी नक़ल किया जा रहा है...
Device Selection	प्रसंग चयन
Audio CD	ऑडियो सीडी लिखा जा रहा है
Video DVD	वीडियो डीवीडी लिखा जा रहा है
Video CD	वीडियो सीडी लिखा जा रहा है
No medium information	जानकारी
No medium present	कोई उपकरण सेट नहीं है
Please insert an empty or appendable medium	डिस्क या तो खाली है या एपेडेबल नहीं है.
Please insert an empty or appendable CD medium	डिस्क या तो खाली है या एपेडेबल नहीं है.
Simulate	सिमुलेट
Only simulate the writing process	सिर्फ लिखने की प्रक्रिया को सिमुलेट करें
Disk at once	डिस्क- एट- वंस
Write in disk at once mode	डिस्क- एट- वंस मोड में लिखें
Use Burnfree	बर्न फ्री उपयोग करें
Only create image	सिर्फ इमेज बनाएँ
Only create an image	सिर्फ एक इमेज बनाएँ
Remove image	इमेज मिटाएँ
Remove images from disk when finished	जब कार्य सम्पन्न हो जाए तो इमेज फ़ाइलों को मिटाएँ
On the fly	ऑन- द- फ्लाई
Set the paranoia level for reading audio CDs	ऑडियो सीडी को पढ़ने के लिए पैरानॉइया स्तर सेट करें
Start multisession CD	मल्टीसेसन सीडी प्रारंभ करें
Do not close the disk to allow additional sessions to be added later	बाद में अतिरिक्त सेसन जोड़ने के लिए डिस्क को बन्द नहीं करें
Normalize volume levels	आवाज़ स्तर सामान्य करें
Adjust the volume levels of all tracks	सभी ट्रैक्स के लिए आवाज़ स्तर एडजस्ट करें
Verify written data	लिखा गया डाटा को सत्यापित करें
Audio Decoder	ऑडियो सीडी लिखा जा रहा है
Ejecting Medium	सीडी बाहर किया जा रहा है
Creating audio image files	ऑडियो इमेज़ फ़ाइलें बनाई जा रही हैं
Unable to close the tray	ट्रे को बंद करने में अक्षम
IO Error	आईओ त्रुटि
Simulating second session	द्वितीय सत्र सिमुलेट किया जा रहा है
Writing second session	द्वितीय सत्र लिखा जा रहा है
Simulating first session	प्रथम सत्र सिमुलेट किया जा रहा है
Writing first session	प्रथम सत्र लिखा जा रहा है
Trying to write more than the official disk capacity	आधिकारिक डिस्क क्षमता से ज्यादा लिखने की कोशिश की जा रही है
Creating ISO image file	आईएसओ इमेज फ़ाइल बनाया जा रहा है
Normalizing volume levels	आवाज़ स्तर सामान्य किया जा रहा है
Writing Enhanced Audio CD	एनहैंस्ड ऑडियो सीडी लिखा जा रहा है
Writing Mixed Mode CD	मिक्स मोड सीडी लिखा जा रहा है
Flushing Cache	कैश फ्लश किया जा रहा है
Closing Track	ट्रैक बन्द किया जा रहा है
Closing Disk	डिस्क बन्द किया जा रहा है
Closing Session	सत्र बन्द किया जा रहा है
Updating RMA	आरएमए अद्यतन किया जा रहा है
Engaging DAO	डीएओ एंगेज किया जा रहा है
Not Found	नहीं मिला
No Read Permission	पढ़ने की अनुमतियाँ नहीं
From previous session	पिछले सत्र से
El Torito boot catalog file	ईआई टोरिटो बूट केटलॉग फ़ाइल
Boot catalog	बूट कैटलॉग
Searching previous session	पिछले सत्र को ढूंढा जा रहा है
Could not write temporary file	अस्थायी फ़ाइल लिख नहीं सका
El Torito Boot image	ईआई टोरिटो बूट इमेज
Creating image file	इमेज फ़ाइल बनाया जा रहा है
Error while creating ISO image	आईएसओ इमेज बनाने में त्रुटि
Creating Data Image File	डाटा इमेज फ़ाइल बनाया जा रहा है
Writing data	डाटा लिखा जा रहा है
Unspecified	अविशिष्ट
original	असली
duplicate	अनुकृति
Motion Picture	चलचित्र
Still Picture	स्थिर चित्र
invalid	अवैध
joint stereo	जाइँट स्टीरियो
dual channel	ड्यूअल- चैनल
single channel	सिंगल- चैनल
surround sound	सराउंड साउंड
Creating image files	इमेज़ फ़ाइलें बनाई जा रही हैं
Ignoring this aps	इस एप्स को नज़रअंदाज़ किया जा रहा है
Writing Super Video CD	सुपर वीडियो सीडी लिखा जा रहा है
Writing Video CD	वीडियो सीडी लिखा जा रहा है
SVCD	एसवीसीडी
Wrong File Format	गलत फ़ाइल फार्मेट
Silence	खामोशी
Unsupported Format	असमर्थित फ़ॉर्मेट
CD Track	सीडी ट्रैक
Raw Audio CD Image	सीडी इमेज बनाया जा रहा है
RAW recording not supported with this writer	इस राइटर में रॉ रेकॉर्डिंग समर्थन उपलब्ध नहीं हैं
Writing Leadin	लीडइन लिखा जा रहा है
Writing Leadout	लीडआउट लिखा जा रहा है
Writing pregap	प्रीगेप लिखा जा रहा है
Performing Optimum Power Calibration	ऑप्टिमम पावर कैलिब्रेशन किया जा रहा है
Sending CUE sheet	क्यू शीट भेजा जा रहा है
Enabled Burnfree	बर्नफ्री सक्षम है
Disabled Burnfree	बर्नफ्री अक्षम है
Erasing successfully completed	आईएसओ इमेज सफलतापूर्वक बनाया गया.
Reading	पढ़ा जा रहा है
Blanking	ब्लैंकिंग
Executing Power calibration	पावर केलिब्रेशन कार्यान्वित किया जा रहा है
Power calibration successful	पावर केलिब्रेशन सफल
Flushing cache	कैश फ़्लश किया जा रहा है
Found ISRC code	आईएसआरसी कोड मिला
Writing leadin	लीडइन लिखा जा रहा है
Writing leadout	लीडआउट लिखा जा रहा है
Creating Video DVD Image File	डीवीडी इमेज फ़ाइल बनाया जा रहा है
Writing Video DVD	वीडियो डीवीडी लिखा जा रहा है
SAO	एसएओ
Incremental Sequential	इंक्रीमेंटल सीक्वेंशियल
No media	कोई मीडिया नहीं
no medium	कोई मीडिया नहीं
Encrypts and signs messages using OpenPGP	संदेश को ओपनपीजीपी के जरिए एनक्रिप्ट करता है व हस्ताक्षरित करता है
Wireless Lan Manager	बेतार लैन प्रबंधक
File	असफल
bytes	टीप
Same	नाम
Older	अन्य
Resume	हटाएँ
Log Colors	रंगः
Timeouts	टाइमआउट्स
Quick Connect	क्विक कनेक्ट
Startup and Exit	प्रारंभ तथा बाहर
Fingerprint	फ़िंगरप्रिंट
Not Connected	नहीं मिला
No name	नाम
Color	रंगः
Enabled	असफल
ASCII extensions	एक्सटेंशनः
Actions	विकल्प
Filters	असफल
Down	डाउनलोड
Fingerprint Verification	फ़िंगरप्रिंट
Speed	गति सीमा
Remove All	हटाएँ
Filter Options	विकल्प
Sites Near You	साइट नाम
Decryption Failed	वर्णन
DCC Send	डीसीसी प्राप्त
DCC Receive	डीसीसी प्राप्त
No	कुछ नहीं
Select nickname and close the window	उपनाम चुनें तथा विंडो बन्द करें
Close the window without changes	बिना किसी परिवर्तनों के विंडो को बन्द करें
Talking to yourself	अपने आप से बात किया जा रहा है
CTCP	सीटीसीपी
No vacant port	कोई रिक्त पोर्ट नहीं
Could not open a socket	सॉकेट खोल नहीं सकता
Enter Filename	फ़ाइलनाम भरें
No filename was given	कोई फ़ाइलनाम नहीं दिया गया है
Timed out	टाइम आउट
Partner	संगी
Started At	यहाँ सहेजें
Sender Address	भेजने वाले का पता
Remaining	बचा
Preparing	तैयारी की जा रही है
Pending	भेजा जा रहा है
Receiving	प्राप्त किया जा रहा है
Sending	भेजा जा रहा है
Could not create a KIO instance	केआईओ इंस्टैंस तैयार नहीं कर सका
Waiting for connection	पासवर्ड सुरक्षित
Unexpected response from remote host	रिमोट होस्ट से अप्रत्याशित प्रतिक्रिया
Transfer error	हस्तांतरण त्रुटि
DCC Status	डीसीसी स्थिति
Start receiving	प्राप्त करना प्रारंभ करें
Clear Completed	लॉगफ़ाइल साफ करें
Run the file	फ़ाइल चलाएँ
File Information	फ़ाइल जानकारी
DCC Receive Question	डीसीसी प्राप्त प्रश्न
Original Filename	फ़ाइलनाम भरें
Author	नेटवर्क
Give Op	ऑप दें
Take Op	ऑप लें
Give HalfOp	ऑप दें
Take HalfOp	ऑप लें
Give Voice	आवाज दें
Take Voice	आवाज लें
Modes	मोड्स
Kick	किक
Kickban	किकबेन
Ban Nickname	प्रतिबन्ध उपनाम
Unignore	नज़रअंदाज़ करें
Address Book Associations	पता- पुस्तिका सम्बद्धता
Add to Watched Nicks	निगरानी के उपनामों को संपादित करें
Delete Association	सम्बद्धता मिटाएँ
Connect to the server	सर्वर से जुड़ें
New Network	नेटवर्क
Edit Network	नेटवर्क संपादित करें
Notify	नोटिफाई
IRC Operator Password	आईआरसी आपरेटर पासवर्ड
Support	समर्थन
password protected	पासवर्ड सुरक्षित
Whois	कौन है
Nick	उपनाम
MOTD	एमओटीडी
End of message of the day	आज के संदेश का अंत
Who	कौन
Userhost	यूज़रहोस्ट
Warning	चेतावनी संवाद
SSL Connection Error	एसएसएल कनेक्शन त्रुटि
Nickname error	उपनाम
unknown size	अज्ञात
Gone away for now	अभी के लिए दूर गया.
Channel Invites	चैनल सूची
Nickname	उपनाम
Watched Nicks Online	निक्स की ऑनलाइन निगरानी
Additional Information	अतिरिक्त जानकारी
HalfOp	हाफऑप
Operator	आपरेटर
Channel Name	चैनल नाम
Channel Topic	चैनल का विषय
Save Channel List	चैनल सूची सहेजें
Change network information	नेटवर्क जानकारी बदलें
Discards all changes made	किए गए सभी परिवर्तनों को फेंक दें
Add Server	सर्वर जोड़ें
Add Channel	चैनल जोड़ें
Edit Channel	चैनल संपादित करें
Close This Query	इस क्वैरी को बंद करें
Close Query	इस क्वैरी को बंद करें
Has voice	के पास आवाज है
Maximum users allowed in channel	चैनल में स्वीकार्य अधिकतम उपयोक्ता
Channel Password	चैनल पासवर्ड
Channel User Limit	चैनल सूची
Part	पार्ट
Leave Channel	चैनल सूची सहेजें
Create connection	कनेक्शन हो रहा है
Switch Server	सर्वर का संपादन करें
Identity Settings	पहचान विन्यास जाँचें
minutes	पंक्तियाँ
Change identity information	पहचान जानकारी बदलें
Add Identity	पहचान जोड़ें
Rename Identity	पहचान नाम बदलें
Delete Identity	पहचान मिटाएँ
Duplicate Identity	अनुकृति पहचान
Konversation	कनवर्सेसन
DCOP interface	डीकॉप इंटरफेस
Konsole part view	कंसोल पार्ट व्यू
A Handful of fixes and code cleanup	बहुत से सुधार तथा कोड साफसफाई.
Artwork	नेटवर्क
System tray patch	तंत्र तश्तरी पैच
Bug fixes	बग फिक्सेस
Extended user modes patch	विस्तारित उपयोक्ता मोड पैच
Close visible tab with shortcut patch	शॉर्टकट पैच के साथ दृष्टिगोचर टैब को बन्द करें
Cycle tabs with mouse scroll wheel	माउस स्क्रॉल व्हील के द्वारा टैब को सायकल करें
Channel ownership mode patch	चैनल मालिक मोड पैच
Option to enable IRC color filtering	आईआरसी रंग फिल्टरिंग सक्षम करने का विकल्प
Server to connect	सर्वर मिला, जुड़ रहा है...
Password for connection	पासवर्ड सुरक्षित
Use SSL for connection	एसएसएल कनेक्शन त्रुटि
New	नया
Normal Users	सामान्य उपयोक्ता
Select Theme Package	प्रसंग पैकेज चुनें
Failed to Download Theme	प्रसंग डाउनलोड करने में असफल
Cannot Install Theme	नया प्रसंग संस्थापित नहीं कर सकता
Remove Theme	प्रसंग मिटाएँ
Interface	डीकॉप इंटरफेस
Behavior	बर्ताव
Notifications	सूचनाएँ सक्षम करें
Nicklist Themes	इस्तेमाल के लिए निकलिस्ट प्रतीक प्रसंग चुनें
Colors	रंग
Fonts	संकेतक से
Quick Buttons	क्विक बटन
Tabs	टैब
General	सामान्य
Connection	कनेक्शन हो रहा है
Command Aliases	कमांड अलियास
Auto Replace	बदला
Logging	लॉग किया जा रहा है
Highlight	हाईलाइट्स
Watched Nicknames	निगरानी में निकनाम
On Screen Display	ऑन स्क्रीन प्रदर्शक
Warning Dialogs	चेतावनी संवाद
Notice that saving logfiles will save whole file	टीप लें कि लॉग फ़ाइल को सहेजने से पूरी फ़ाइल सहेज ली जाएगी
Ask before deleting logfile contents	लॉगफ़ाइल विषय- वस्तुओं को मिटाने से पहले प्रश्न
Ask about closing queries after ignoring the nickname	उपनामों को नज़रअंदाज़ करे के बाद क्वैरी बन्द करने के लिए प्रश्न
Close server tab	टैब बंद करें
Close channel tab	चैनल सूची
Close query tab	टैब बंद करें
Close DCC Chat tab	चैनल सूची
Warning on hiding the main window menu	मुख्य विंडो मेन्यू को छिपाने पर चेतावनी दें
Warning on high traffic with channel list	चैनल सूची में ज्यादा ट्रैफ़िक होने पर चेतावनी दें
Warning on pasting large portions of text	बहुत बड़ा पाठ का भाग चिपकाने पर चेतावनी दें
Warning on quitting Konversation	बहुत बड़ा पाठ का भाग चिपकाने पर चेतावनी दें
Network Interface	नेटवर्क इंटरफेस
Reply From IRC Server	आईआरसी सर्वर से जवाब
Specify Manually	हस्तचालित निर्दिष्ट करें
Select Sound File	ध्वनि फ़ाइल चुनें
Default Identity	डिफ़ॉल्ट पहचान
Cryptography	क्रिप्टोग्राफी
Encrypt Messages	संदेश एनक्रिप्ट करें
Network	नेटवर्क
Advanced	विस्तृत
Proxy	प्रॉक्सी
Application	अनुप्रयोग
Start	प्रारंभ
Stop	रूकें
Pause	ठहरें
Remove	हटाएँ
Stop All	सभी बन्द करें
Rename Torrent	केटोरेंट
Temporary Directory	अस्थाई डिरेक्ट्री
New Group	नया समूह
Open Directory	ओपन डिरेक्ट्री
Copy Torrent URL	केटोरेंट
Export Torrent	महत्वपूर्ण
Name	नाम
Status	स्थिति
Downloaded	डाउनलोडेड
Size	आकार
Uploaded	अपलोडेड
Time Left	समय बाकी
Location	स्थान
Current download speed	डाउनलोडेड
Current upload speed	डाउनलोडेड
Columns	स्तम्भ
All files	सभी फ़ाइलें
Create A Torrent	केटोरेंट
Show a file tree	एक फ़ाइल चुनें
Show a file list	एक फ़ाइल चुनें
Filter	फ़ाइल
Assured Download Speed	डाउनलोडेड
Search	ढूंढें
Show Search	ढूंढें
Move Top	ऊपर जाएँ
Move Up	ऊपर जाएँ
Move Down	नीचे जाएँ
Move Bottom	नीचे जाएँ
Downloading	डाउनलोड किया जा रहा है
Stopped	रुक गया
Time Stalled	रुका हुआ
Priority	प्राथमिकता
Running	चल रहा है
Queued	क़तार- बद्ध
Remove Magnet	वस्तु मिटाएँ
IP Filter List	फ़ाइल
Choose a file	एक फ़ाइल चुनें
Torrents	केटोरेंट
KTorrent	केटोरेंट
Adam Treat	एडम ट्रीट
Danny Allen	डैनी एलन
Andreas Kling	आंद्रेयास क्लिंग
Alexander Dymo	अलेक्ज़ेंडर दायमो
Document to open	दस्तावेज़ जिसे खोलना है
Remove Group	समूह हटाएँ
All Files	सभी फ़ाइलें
Open Location	स्थान खोलें
Create a new torrent	केटोरेंट
Open a torrent	केटोरेंट
Open URL	खोलें
Suspend KTorrent	केटोरेंट
Suspend all running torrents	केटोरेंट
Resume KTorrent	केटोरेंट
Resume suspended torrents	केटोरेंट
Import a torrent	महत्वपूर्ण
Unlimited	असीमित
Normal icons	सामान्य
Top	ऊपर
Uploads	अपलोड
Running Uploads	चल रहा है
Downloads	डाउनलोड्स
Running Downloads	डाउनलोड्स
Not Running Downloads	डाउनलोड नहीं करें
Active Torrents	केटोरेंट
Active Downloads	डाउनलोड्स
Active Uploads	अपलोड
Passive Torrents	केटोरेंट
Passive Downloads	डाउनलोड्स
Passive Uploads	डाउनलोड्स
File	फ़ाइल
Error	त्रुटि
Plugins	प्लगइन्स
Applet	लागू करें
Preferences	परफार्मेंस
Folders	फ़ोल्डर
System Tray Icon	तंत्र तश्तरी प्रतीक
Show system tray icon	तंत्र तश्तरी प्रतीक दिखाएँ
Miscellaneous	विविध
Use webseeds	वस्तु मिटाएँ
Encryption	एनक्रिप्शन
KiB	कि. बा.
MiB	मे. बा.
Seeding	गति
Performance	परफार्मेंस
ms	मि. से.
Cancel	रद्द करें
Close	बंद करें
Invert Selection	चयन पलटें
Collapse All	सभी बन्द करें
Options	विकल्प
Disk Space	डिस्क में खाली जगहः
Dialog	संवाद
Add	जोड़ें
Port	पोर्ट
Recreate	फिर से बनाएँ
Do Not Download	डाउनलोड नहीं करें
GroupsMenu	समूह
Torrent Limits	केटोरेंट
Clear	साफ करें
Show a system tray icon	तंत्र तश्तरी प्रतीक दिखाएँ
Show speed bar in tray icon	तंत्र तश्तरी प्रतीक दिखाएँ
UDP	यूडीपी
TCP	टीसीपी
Forward	आगे
Rescan	री- स्कैन
Add Folder	फ़ोल्डर जोड़ें
Remove Folder	फ़ोल्डर मिटाएँ
Web Server	सर्वरः
forward Port	आगे
Remove Webseed	वस्तु मिटाएँ
Add Trackers	उपलब्ध
Update Trackers	उपलब्ध
Restore Defaults	डिफ़ॉल्ट बहाल करें
Tabs	कार्य
Info	जानकारी
Sharing	साझेदारी
Connections	कनेक्शन्स
Speed	गति
Download	डाउनलोड
Upload	अपलोड
Average	औसत
Tasks	कार्य
Display	प्रदर्शक
Native	नेटिव
KDE	केडीई
Settings	विन्यास
Update	अद्यतन
milliseconds	मि. से.
Maximum	अधिकतम
Exact	सटीक
Shutdown Toolbar	मुख्य औज़ार पट्टी
Shutdown Settings	विन्यास
Torrent activity	केटोरेंट
Media Player Toolbar	ढूंढने के लिए औज़ार पट्टी
Syndication Toolbar	मुख्य औज़ार पट्टी
Refresh	फिर से बनाएँ
Filters	फ़ाइल
Manage Filters	फ़ाइल
New Filter	फ़ोल्डर जोड़ें
Current search engine	खोज इंजिन
Search Toolbar	ढूंढने के लिए औज़ार पट्टी
seconds	मि. से.
EMail Settings	विन्यास
SMTP Server	सर्वरः
Destination	एनक्रिप्शन
Time	समय
Limits	सीमाएँ
Connection Limits	कनेक्शन्स
Set connection limits	कनेक्शन्स
Device	उपकरण
Scan Folder	फ़ोल्डर स्कैन करें
loaded	लोड हो गया
Open	खोलें
Move File	फ़ाइल खिसकाएँ
Expand Folder Tree	फ़ोल्डर स्कैन करें
File Tree	फ़ाइल
File List	फ़ाइल अस्तित्व में है
Show Filter	फ़ोल्डर जोड़ें
No	नहीं
Address	आईपी पता
Country	देश
Client	क्लाएंट
Availability	उपलब्धता
Score	अंक
Requests	निवेदन
Download speed	डाउनलोडेड
Upload speed	अपलोडेड
Files	फ़ाइल
Next Update	अद्यतन
URL	यूआरएल
Available	उपलब्ध
Progress	प्रगति
Never	सर्वरः
File Exists	फ़ाइल अस्तित्व में है
Statistics	स्थिति
Unknown	अज्ञात क्लाएंट
Rescale	री- स्कैन
Reset	पुनरारंभ
Connections charts	कनेक्शन्स
Downloading finishes	डाउनलोड किया जा रहा है
Seeding finishes	ढूंढना सम्पन्न
System	तंत्र
Debug	दोषसुधार
Notice	सूचना
Important	महत्वपूर्ण
All	सभी
None	कुछ नहीं
Play List	फ़ाइल
Previous	पूर्वावलोकन
Add Media	फ़ोल्डर जोड़ें
Movie player	फ़ाइल खिसकाएँ
Title	फ़ाइल
Year	साफ करें
Single File	सभी फ़ाइलें
Download Failed	डाउनलोडेड
Edit Filter	फ़ोल्डर जोड़ें
Syndication	अनुप्रयोग
Add Feed	फ़ोल्डर जोड़ें
Remove Feed	वस्तु मिटाएँ
Show Feed	गति
Add Filter	फ़ोल्डर जोड़ें
Remove Filter	फ़ोल्डर मिटाएँ
Add New Filter	फ़ोल्डर जोड़ें
Add a Search Engine	खोज इंजिन
Copy URL	केटोरेंट
Search finished	ढूंढना सम्पन्न
Search Engine	खोज इंजिन
Add Script	फ़ोल्डर जोड़ें
Remove Script	समूह हटाएँ
Run Script	फ़ोल्डर जोड़ें
Stop Script	फ़ोल्डर जोड़ें
Edit Script	फ़ोल्डर जोड़ें
Properties	प्रगति
Scripting	एनक्रिप्शन
Add an item	फ़ोल्डर जोड़ें
Suspended	गति
New Item	नई वस्तु
Remove Item	वस्तु मिटाएँ
Edit Item	वस्तु का संपादन करें
OK	ठीक
Unknown client	अज्ञात क्लाएंट
Not in use	सूचना
Connection closed	कनेक्शन्स
Connected	कनेक्शन्स
Connecting	कनेक्शन्स
Parse Error	व्याख्या त्रुटि
Not started	प्रारंभ नहीं हुआ
Stalled	रुका हुआ
Queued for downloading	डाउनलोड किया जा रहा है
Paused	ठहरा
KSqueezedTextLabel	केटोरेंट
Quit	फिर से बनाएँ
Form	फ़ोल्डर जोड़ें
Checking Data Integrity	फ़ोल्डर मिटाएँ
Select Folder to Save To	फ़ोल्डर जोड़ें
Apply	फ़ोल्डर जोड़ें
Disk space	समूह हटाएँ
KTorrent Plasma Applet	ओपन डिरेक्ट्री
Groups	ठीक
Enqueue or dequeue a torrent	पीछे
Kwlan	केडबल्यूलैन
Interface	इंटरफेस
Save	साझेदारी
Quit	बाहर जाएँ
Disable	अक्षम
Enable	सक्षम करें
Connection Type	कनेक्शन क़िस्म
Phone number	फोन नम्बर
Username	उपयोक्तानाम
Password	पासवर्ड
ISDN	आईएसडीएन
Timestamp	समय- चिह्न
Message	संदेश
Hidden	छुपा
Mode	मोड
Security	सुरक्षा
Authentication	प्रमाणीकरण
Identity	उपयोक्ता
Shared	साझेदारी
IP Address	आईपी पता
Netmask	नेटमॉस्क
Default Gateway	डिफ़ॉल्ट गेटवे
Domain Name	डोमेन नाम
Scripts	स्क्रिप्ट्स
flags	फ्लैग्स
Select Driver	ड्राइवर चुनें
Delete	मिटाएँ
Show Labels	लेबल्स दिखाएँ
Connection	कनेक्शन
Rate	दर
Transfer	हस्तांतरण
Kile Project	काइल परियोजना
Select Bibliography	ग्रन्थ सूची चुनें
Select a bibliography	ग्रन्थ सूची चुनें
Cite	शीर्षक
Paste	सफल
Files	असफल
Tool Name	कोई नाम नहीं
Class	क्लास
Add Abbreviation	संक्षिप्त
Edit Abbreviation	संक्षिप्त
Documentation Browser	दस्तावेज़ीकरण
Search	खोजें
Delete Files	फ़ाइलें मिटाएँ
Existing Templates	उपलब्ध टैम्प्लेट्स
Document Type	दस्तावेज़ प्रकार
Show all the templates	टैम्प्लेट बनाने में असफल.
Clear Selection	चयन हटाएँ
Insert	घुसाएँ
Bold	गाढ़ा
Italic	टेढ़ा
Underline	लकीर
Join Cells	कोष्ठ जोडें
Split Cells	कोष्ठ तोडें
Edit Frame	संपादित करें
Text Color	पाठ रंग
Clear Text	पाठ साफ करें
Clear All	सभी साफ करें
Environment	वातावरण
Center	केन्द्र
Insert bullets	बुलेट प्रविष्ट करें
Resizing table	सारणी आकार बदलें
Include Graphics	चित्रादि शामिल करें
Missing Package	पैकेज संपादित करें
Figure Environment	आकृति एनवायरनमेंट
Edit a LaTeX Environment	केडीई एकीकृत लेटेक्स वातावरण
Edit a LaTeX Command	लेटेक्स कमांड
LaTeX Configuration	नया कॉन्फ़िगरेशन
Math	गणित
Lists	सूचियाँ
Tabular	टेबुलर
Labels	लेबल्स
References	सन्दर्भ
Includes	शामिल
LaTeX Environments	एनवायरनमेंट्स
LaTeX Commands	लेटेक्स कमांड
LaTeX Environment	नया एनवायरनमेंट
Project	परियोजना
Source Files	स्रोत फ़ाइलें
Package Files	पैकेज फ़ाइलें
Image Files	छवि फ़ाइलें
Error in extension	एक्सटेंशन गुम है
Invalid extension	एक्सटेंशन गुम है
Create New Project	नई परियोजना बनाएँ
Create a new file and add it to this project	एक नया फ़ाइल बनाएँ तथा उसे इस परियोजना में जोड़ें
No Name	कोई नाम नहीं
Untitled	बेशीर्षक
Empty Location	रिक्त स्थान
Project File Already Exists	परियोजना फ़ाइल पहले से ही मौज़ूद है
No File Name Given	कोई फ़ाइल नाम नहीं दिया है
File Already Exists	फ़ाइल पहले से ही मौज़ूद है
Project Options	परियोजना विकल्प
Properties	गुण
Add current text to this list	इस सूची में मौज़ूदा पाठ जोड़ें
Remove current element from this list	इस सूची में से मौजूदा एलिमेंट को मिटाएँ
Option	विकल्प
Description	वर्णन
Add a new class option	नया क्लास विकल्प जोड़ें
Edit the current class option	मौजूदा क्लास विकल्प का संपादन करें
Remove the current class option	मौजूदा क्लास विकल्प को मिटाएँ
Package	पैकेज
Value	मान
Add a new package	नया पैकेज जोड़ें
Add a new package option	नया पैकेज विकल्प जोड़ें
